Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
96	WNV.1a.f.11	1.000000	0.634040	0	0.913472	0.298246
97	TBV.f.58	0.750000	0.002725	0	0.918971	0.916310
98	Deng.4.f3.18	0.742649	0.005461	0	0.919590	0.914255
102	JEVG.MV.f.47	0.777547	-0.003513	0	0.918788	0.922216
103	WNV.f.1	1.000000	0.182529	0	0.914465	0.737159
104	RioBrVG.0.ja.85	0.822848	-0.002676	0	0.919925	0.922540
105	UsutuV.j.55	0.835582	-0.004456	0	0.914129	0.918456
106	TBVG.f.76	1.000000	0.002174	0	0.889028	0.886975
107	f.87	0.822848	0.099713	0	0.894147	0.799439
108	Deng.1.f3.29	0.921772	-0.001795	0	0.896881	0.898591
109	Deng.3.f.32	0.921772	0.001465	0	0.905642	0.904233
113	JEVG.Nt.ja.53	1.000000	-0.004435	0	0.914932	0.919243
114	PowVG.f.81	0.785408	0.004121	0	0.918595	0.914573
115	f.97	0.902045	0.002677	0	0.919442	0.916827
116	f.96	1.000000	0.005503	0	0.920400	0.915020
117	f.95	0.839989	0.003246	0	0.920951	0.917776
118	f.94	0.822848	0.001302	0	0.920399	0.919126
119	Deng.2.w2.31	0.835582	-0.001415	0	0.919852	0.921235
123	JEVG.Ig.f.39	0.803009	0.006321	0	0.923729	0.917526
124	WNV.1b.f.10	0.750000	0.005530	0	0.920589	0.915182
125	YFV.3.f.68-67	0.879012	0.006603	0	0.920504	0.914047
126	TBV.f.57	0.822848	0.006753	0	0.919798	0.913201
127	YFVG.ja.63-61	0.835582	0.075639	0	0.895619	0.823659
128	WNV.f.9	1.000000	0.222789	0	0.900654	0.687509
129	f.98	1.000000	0.025310	0	0.905236	0.880899
130	f.92	0.792630	0.006356	0	0.909052	0.902914
134	YFVG.f2.62-61	0.822848	0.001156	0	0.918533	0.917405
135	MosqFlav.3.f.71-70	0.902045	0.001424	0	0.919571	0.918180
136	Tyuleniy.f.83	0.879012	-0.004393	0	0.919144	0.923433
137	Meaban.ja.83	0.863636	0.003210	0	0.921318	0.918177
138	Edge_Hill.YFVG.j.60	0.822848	0.002323	0	0.922361	0.920085
139	NoVertHost.f.69	0.641183	0.002066	0	0.922533	0.920509
140	TBVG.f2.77	0.902045	0.001807	0	0.922550	0.920779
144	WNV.2.f2.12	1.000000	0.005324	0	0.924353	0.919126
145	YFVG.f.61	0.822848	-0.005606	0	0.919629	0.925105
146	TBV.f.56	0.879012	0.005875	0	0.921972	0.916219
147	WNV.1a.f.7	1.000000	0.238071	0	0.920412	0.687651
148	RioBrVG.f.75-75	1.000000	0.004344	0	0.902267	0.898104
149	TBVG.f.79-77	0.839989	0.007396	0	0.905863	0.898747
150	JEVG.Zi.f.46-45	1.000000	0.034627	0	0.907432	0.874055
151	SLEV.jj.52	0.835582	0.017827	0	0.911471	0.894210
152	JEVG.Ig-aroa.ja.41	0.835582	-0.000795	0	0.913863	0.914635
153	aroa.JEVG.Ig.f.44-39	0.902045	-0.005431	0	0.913726	0.918997
154	JEVG.Ig.f.42	0.921772	0.001584	0	0.917842	0.916297
155	f.86	1.000000	-0.003609	0	0.915900	0.919411
156	RioBrVG.1.f2.84	0.777547	0.000510	0	0.918921	0.918423
157	TBVG.f.80-77	0.921772	0.000475	0	0.920862	0.920397
158	TBVG.f2.78	0.835582	-0.000839	0	0.921152	0.921974
159	JEVG.Zi.f.45	0.884491	-0.000996	0	0.922144	0.923120
160	NoVertHost.0.f.73	0.879012	-0.001578	0	0.923043	0.924591
161	Deng.4.w2.19	0.879012	0.002294	0	0.923111	0.920862
162	WNV.2.w2.14	1.000000	0.013018	0	0.922655	0.909896
163	UsutuV.f.54	1.000000	0.049108	0	0.920465	0.872449
164	Deng.f.17	0.863636	0.002635	0	0.921498	0.918919
165	SeaBTB.ja.72	0.803009	-0.003515	0	0.919377	0.922810
166	JE.j.33	0.750000	0.006942	0	0.922877	0.916071
167	Deng.1.f3.30	0.902045	-0.003560	0	0.922260	0.925748
168	MVEV.JEVG.MV.j.49	0.686484	0.001912	0	0.920152	0.918283
169	JE.jj.36	0.835582	0.003503	0	0.902328	0.898970
170	SLEV.jj.51	0.634491	0.009162	0	0.907053	0.898226
171	MosqFlav.f.70	0.839989	-0.000787	0	0.910137	0.910897
172	JEVG.Ig-aroa.ja.40	1.000000	-0.005623	0	0.909201	0.914631
173	JE.jj.37	0.839989	0.000127	0	0.916923	0.916799
174	JE.jj.35	1.000000	0.000232	0	0.916756	0.916530
175	YFV.f.66	0.699218	0.005946	0	0.919747	0.913937
176	Edge_Hill.YFVG.j.59	0.572848	0.004249	0	0.920120	0.915966
177	YFV.f.65	0.666646	0.002709	0	0.920189	0.917541
178	RioBrVG.ja.74	0.835582	-0.001951	0	0.921519	0.923429
179	YFV.f.64	0.839989	-0.001081	0	0.921522	0.922580
180	WNV.2.f.8	1.000000	0.176924	0	0.920476	0.747485
181	f.88	0.822848	0.001125	0	0.921984	0.920882
182	f.43-16	1.000000	0.806424	0	0.911257	0.130660
183	fw.23	1.000000	0.262681	0	0.920776	0.663851
184	f.93	1.000000	0.004140	0	0.921145	0.917094
185	f.99	0.803009	-0.002954	0	0.922778	0.925673
186	f.90	0.777547	0.006308	0	0.924096	0.917905
187	f.91	0.863480	0.005518	0	0.923575	0.918162
188	0,1M NaPP Standard pH 9	0.737329	-0.006852	0	0.920170	0.926868
189	Biotin-Marke_2,5µM	1.000000	0.854061	0	0.901908	0.083680
190	JE.j.34	0.839989	-0.007294	0	0.901150	0.908133
191	SLEV.ja.50	0.613636	0.007104	0	0.908605	0.901749
192	WNV.2.w2.13	0.666646	0.001971	0	0.911076	0.909168
193	YFV.1.ja.67	0.803009	-0.001616	0	0.914178	0.915748
194	JE.2.j.38	0.884491	0.001790	0	0.917465	0.915720
195	MVEV.JEVG.MV.ja.48	1.000000	0.017093	0	0.916871	0.900223
196	WNV.1a.f.11	1.000000	0.652365	0	0.913409	0.280445
197	TBV.f.58	0.750000	-0.002745	0	0.919634	0.922316
198	Deng.4.f3.18	0.652045	0.002983	0	0.919252	0.916340
199	JEVG.MV.f.47	1.000000	0.005888	0	0.919558	0.913807
200	WNV.f.1	1.000000	0.222961	0	0.919378	0.701634
201	RioBrVG.0.ja.85	0.560757	0.004018	0	0.924206	0.920261
202	UsutuV.j.55	0.822848	0.000430	0	0.924340	0.923918
203	TBVG.f.76	0.863636	0.004267	0	0.924274	0.920085
204	f.87	0.777547	-0.000597	0	0.923507	0.924093
205	Deng.1.f3.29	0.777547	-0.000784	0	0.924345	0.925114
206	Deng.3.f.32	0.686484	-0.000510	0	0.926260	0.926762
207	JEVG.Nt.ja.53	0.835582	0.003772	0	0.925406	0.921698
208	PowVG.f.81	0.879012	-0.001916	0	0.923009	0.924888
209	f.97	0.879012	0.004146	0	0.924242	0.920171
210	f.96	1.000000	0.012312	0	0.922046	0.909987
211	f.95	0.585582	0.004446	0	0.901738	0.897479
212	f.94	0.863480	0.006079	0	0.910914	0.905032
213	Deng.2.w2.31	0.822848	-0.000539	0	0.912175	0.912697
214	JEVG.Ig.f.39	0.765681	0.000430	0	0.914461	0.914043
215	WNV.1b.f.10	0.921772	-0.002648	0	0.915317	0.917892
216	YFV.3.f.68-67	0.835582	0.000945	0	0.916551	0.915632
217	TBV.f.57	1.000000	-0.000415	0	0.919390	0.919795
218	YFVG.ja.63-61	0.810757	-0.003764	0	0.920012	0.923690
219	WNV.f.9	1.000000	0.262078	0	0.919590	0.663585
220	f.98	1.000000	0.032724	0	0.920999	0.888984
221	f.92	0.777547	0.003137	0	0.922844	0.919769
222	YFVG.f2.62-61	0.652045	0.002779	0	0.923174	0.920448
223	MosqFlav.3.f.71-70	0.921772	-0.002521	0	0.924494	0.926969
224	Tyuleniy.f.83	0.835582	-0.001491	0	0.924695	0.926160
225	Meaban.ja.83	1.000000	0.001263	0	0.924184	0.922944
226	Edge_Hill.YFVG.j.60	0.589989	-0.002386	0	0.924827	0.927171
227	NoVertHost.f.69	0.839989	0.002815	0	0.927261	0.924488
228	TBVG.f2.77	0.666646	0.001927	0	0.925264	0.923370
229	WNV.2.f2.12	1.000000	-0.001853	0	0.924270	0.926089
230	YFVG.f.61	1.000000	0.003726	0	0.926483	0.922816
231	TBV.f.56	1.000000	0.006347	0	0.924782	0.918547
232	WNV.1a.f.7	1.000000	0.244964	0	0.902152	0.667402
233	RioBrVG.f.75-75	0.835582	0.002156	0	0.909944	0.907859
234	TBVG.f.79-77	0.835582	-0.000050	0	0.912097	0.912146
235	JEVG.Zi.f.46-45	1.000000	0.056483	0	0.907749	0.853285
236	SLEV.jj.52	0.742649	-0.001973	0	0.916891	0.918813
237	JEVG.Ig-aroa.ja.41	1.000000	0.002305	0	0.918418	0.916169
238	aroa.JEVG.Ig.f.44-39	1.000000	-0.000058	0	0.919651	0.919708
239	JEVG.Ig.f.42	0.839989	0.001234	0	0.921403	0.920195
240	f.86	0.928993	0.001846	0	0.922489	0.920680
241	RioBrVG.1.f2.84	0.613480	0.004723	0	0.920960	0.916340
242	TBVG.f.80-77	0.803009	-0.000860	0	0.923406	0.924250
243	TBVG.f2.78	0.785408	-0.002642	0	0.924274	0.926868
244	JEVG.Zi.f.45	0.863480	-0.004148	0	0.924118	0.928191
245	NoVertHost.0.f.73	0.902045	-0.003619	0	0.923227	0.926776
246	Deng.4.w2.19	0.777547	-0.000671	0	0.925235	0.925895
247	WNV.2.w2.14	1.000000	0.011245	0	0.924619	0.913574
248	UsutuV.f.54	1.000000	0.038783	0	0.924946	0.886842
249	Deng.f.17	0.902045	0.000430	0	0.927707	0.927283
250	SeaBTB.ja.72	1.000000	0.002089	0	0.927300	0.925243
251	JE.j.33	0.921772	0.001432	0	0.926964	0.925555
252	Deng.1.f3.30	0.699218	0.007706	0	0.926930	0.919343
253	MVEV.JEVG.MV.j.49	0.863480	-0.001984	0	0.903757	0.905662
254	JE.jj.36	0.839989	-0.001354	0	0.908562	0.909869
255	SLEV.jj.51	0.634491	-0.003261	0	0.911874	0.915033
256	MosqFlav.f.70	0.750000	0.002748	0	0.914789	0.912119
257	JEVG.Ig-aroa.ja.40	0.500000	-0.003665	0	0.916507	0.920075
258	JE.jj.37	1.000000	0.001269	0	0.917985	0.916747
259	JE.jj.35	0.835582	-0.000625	0	0.919591	0.920201
260	YFV.f.66	0.585582	-0.002734	0	0.920762	0.923436
261	Edge_Hill.YFVG.j.59	0.863480	0.002332	0	0.921183	0.918901
262	YFV.f.65	0.553009	0.001086	0	0.921885	0.920822
