Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
96	WNV.1a.f.11	1.000000	0.155492	0	0.906355	0.756653
97	TBV.f.58	0.764900	-0.002108	0	0.908723	0.910758
98	Deng.4.f3.18	0.847518	0.005818	0	0.907123	0.901517
102	JEVG.MV.f.47	0.613636	-0.000764	0	0.899112	0.899841
103	WNV.f.1	1.000000	0.028987	0	0.902418	0.874632
104	RioBrVG.0.ja.85	0.769443	-0.003717	0	0.903797	0.907366
105	UsutuV.j.55	1.000000	-0.003717	0	0.903469	0.907037
106	TBVG.f.76	0.892542	-0.001833	0	0.903416	0.905174
107	f.87	0.840902	-0.001198	0	0.904166	0.905317
108	Deng.1.f3.29	1.000000	-0.004824	0	0.904231	0.908865
109	Deng.3.f.32	0.756178	0.004229	0	0.908479	0.904398
113	JEVG.Nt.ja.53	1.000000	0.010146	0	0.911175	0.901355
114	PowVG.f.81	0.863636	-0.006887	0	0.911613	0.918283
115	f.97	0.618718	0.004026	0	0.911273	0.907376
116	f.96	1.000000	0.039560	0	0.909538	0.871317
117	f.95	1.000000	0.005119	0	0.910480	0.905529
118	f.94	0.822143	-0.001364	0	0.910991	0.912312
119	Deng.2.w2.31	0.892542	0.002879	0	0.910730	0.907945
123	JEVG.Ig.f.39	0.948489	-0.004161	0	0.900044	0.904022
124	WNV.1b.f.10	0.789112	0.003573	0	0.904013	0.900583
125	YFV.3.f.68-67	0.655806	0.001879	0	0.906572	0.904762
126	TBV.f.57	0.750000	0.000837	0	0.907754	0.906947
127	YFVG.ja.63-61	0.868718	-0.001765	0	0.902519	0.904211
128	WNV.f.9	1.000000	0.058255	0	0.905160	0.849147
129	f.98	1.000000	0.007624	0	0.910705	0.903330
130	f.92	1.000000	0.001030	0	0.909185	0.908190
134	YFVG.f2.62-61	1.000000	-0.001491	0	0.911765	0.913210
135	MosqFlav.3.f.71-70	0.692321	0.002822	0	0.911041	0.908310
136	Tyuleniy.f.83	0.822143	0.002109	0	0.912253	0.910209
137	Meaban.ja.83	0.788451	0.014669	0	0.911797	0.897590
138	Edge_Hill.YFVG.j.60	0.812125	-0.002342	0	0.911775	0.914043
139	NoVertHost.f.69	0.704538	0.003063	0	0.912242	0.909274
140	TBVG.f2.77	0.597518	0.003742	0	0.910623	0.907003
144	WNV.2.f2.12	1.000000	-0.002865	0	0.905057	0.907811
145	YFVG.f.61	0.868718	-0.005559	0	0.905294	0.910640
146	TBV.f.56	0.736117	0.003882	0	0.908250	0.904504
147	WNV.1a.f.7	0.942321	0.024640	0	0.908933	0.885144
148	RioBrVG.f.75-75	1.000000	-0.007637	0	0.902724	0.910047
149	TBVG.f.79-77	1.000000	-0.005264	0	0.901358	0.906398
150	JEVG.Zi.f.46-45	0.831332	0.002901	0	0.908483	0.905684
151	SLEV.jj.52	1.000000	-0.006268	0	0.904965	0.910990
152	JEVG.Ig-aroa.ja.41	1.000000	0.006233	0	0.909805	0.903781
153	aroa.JEVG.Ig.f.44-39	0.847518	-0.000597	0	0.910025	0.910602
154	JEVG.Ig.f.42	0.732354	0.005238	0	0.908606	0.903550
155	f.86	0.655806	0.003897	0	0.910773	0.907003
156	RioBrVG.1.f2.84	0.872481	0.001243	0	0.910428	0.909226
157	TBVG.f.80-77	0.750000	-0.003642	0	0.912809	0.916340
158	TBVG.f2.78	0.868718	-0.000652	0	0.911231	0.911862
159	JEVG.Zi.f.45	1.000000	-0.002990	0	0.909171	0.912059
160	NoVertHost.0.f.73	0.925475	0.000513	0	0.912840	0.912342
