Spot ID	Substance	Confidence	Signal	Valid	Background	Mean
96	WNV.1a.f.11	1.000000	0.003671	0	0.926623	0.923010
97	TBV.f.58	0.913820	-0.001577	0	0.922550	0.924095
98	Deng.4.f3.18	1.000000	0.001787	0	0.923889	0.922135
102	JEVG.MV.f.47	0.979672	0.071477	0	0.924402	0.854216
103	WNV.f.1	0.945364	-0.003489	0	0.922831	0.926251
104	RioBrVG.0.ja.85	0.671720	0.002138	0	0.923105	0.921008
105	UsutuV.j.55	0.838828	0.005315	0	0.923816	0.918601
106	TBVG.f.76	1.000000	0.539700	0	0.890972	0.380186
107	f.87	1.000000	0.046267	0	0.900496	0.856239
108	Deng.1.f3.29	0.924454	0.004458	0	0.910041	0.905731
109	Deng.3.f.32	0.945364	0.612023	0	0.902106	0.315633
113	JEVG.Nt.ja.53	0.877292	-0.000031	0	0.922671	0.922701
114	PowVG.f.81	0.979672	0.315838	0	0.919765	0.611188
115	f.97	0.979672	0.032412	0	0.922985	0.891208
116	f.96	0.962954	0.002762	0	0.926293	0.923576
117	f.95	1.000000	0.002809	0	0.926068	0.923305
118	f.94	0.939028	0.003086	0	0.923655	0.920627
119	Deng.2.w2.31	0.921720	0.002982	0	0.927059	0.924123
123	JEVG.Ig.f.39	0.750000	0.003316	0	0.926325	0.923063
124	WNV.1b.f.10	0.867273	0.009348	0	0.926084	0.916888
125	YFV.3.f.68-67	0.962954	-0.003169	0	0.924688	0.927801
126	TBV.f.57	0.979672	-0.001171	0	0.925148	0.926299
127	YFVG.ja.63-61	1.000000	0.012693	0	0.899375	0.887248
128	WNV.f.9	0.948664	0.090722	0	0.892268	0.806282
129	f.98	0.877292	0.088073	0	0.901195	0.816884
130	f.92	0.945364	0.148193	0	0.907573	0.764706
134	YFVG.f2.62-61	0.979672	0.002510	0	0.923020	0.920559
135	MosqFlav.3.f.71-70	0.979672	-0.003191	0	0.919425	0.922542
136	Tyuleniy.f.83	0.962954	0.000198	0	0.926697	0.926502
137	Meaban.ja.83	0.975192	0.004236	0	0.926380	0.922212
138	Edge_Hill.YFVG.j.60	1.000000	0.002063	0	0.926834	0.924804
139	NoVertHost.f.69	1.000000	0.004278	0	0.927822	0.923606
140	TBVG.f2.77	0.877292	0.000234	0	0.924224	0.923995
144	WNV.2.f2.12	0.948664	-0.000078	0	0.928365	0.928442
145	YFVG.f.61	1.000000	0.128260	0	0.926653	0.800403
146	TBV.f.56	0.945364	0.001088	0	0.928585	0.927512
147	WNV.1a.f.7	0.843309	-0.001831	0	0.926021	0.927822
148	RioBrVG.f.75-75	0.948664	0.003946	0	0.897236	0.893475
149	TBVG.f.79-77	0.913820	-0.007191	0	0.902446	0.909340
150	JEVG.Zi.f.46-45	0.962954	0.005791	0	0.905189	0.899621
